[2024-06-01T01:48:26] Estimation window: 2013-03-12 - 2017-02-28, Best order: (4, 0, 3)-(1, 1), AIC: -7.08465895487204, Final model converged
[2024-06-01T01:48:57] Estimation window: 2013-03-13 - 2017-03-01, Best order: (5, 0, 5)-(1, 1), AIC: -7.06041703566405, Final model converged
[2024-06-01T01:49:28] Estimation window: 2013-03-14 - 2017-03-02, Best order: (5, 0, 5)-(1, 1), AIC: -7.06970956142436, Final model converged
[2024-06-01T01:50:00] Estimation window: 2013-03-15 - 2017-03-03, Best order: (5, 0, 5)-(1, 1), AIC: -7.07197967020356, Final model converged
[2024-06-01T01:50:33] Estimation window: 2013-03-18 - 2017-03-06, Best order: (4, 0, 4)-(1, 1), AIC: -7.07187680276034, Final model converged
[2024-06-01T01:51:05] Estimation window: 2013-03-19 - 2017-03-07, Best order: (3, 0, 3)-(1, 1), AIC: -7.07656996657938, Final model converged
[2024-06-01T01:51:38] Estimation window: 2013-03-20 - 2017-03-08, Best order: (4, 0, 5)-(1, 1), AIC: -7.10510466856884, Final model converged
[2024-06-01T01:52:10] Estimation window: 2013-03-21 - 2017-03-09, Best order: (5, 0, 4)-(1, 1), AIC: -7.07426776489204, Final model converged
[2024-06-01T01:52:42] Estimation window: 2013-03-22 - 2017-03-10, Best order: (4, 0, 3)-(1, 1), AIC: -7.07786552313511, Final model converged
[2024-06-01T01:53:13] Estimation window: 2013-03-25 - 2017-03-13, Best order: (3, 0, 3)-(1, 1), AIC: -7.08116734578379, Final model converged
[2024-06-01T01:53:45] Estimation window: 2013-03-26 - 2017-03-14, Best order: (2, 0, 4)-(1, 1), AIC: -7.08138838290422, Final model converged
[2024-06-01T01:54:17] Estimation window: 2013-03-27 - 2017-03-15, Best order: (5, 0, 5)-(1, 1), AIC: -7.08328367304546, Final model converged
[2024-06-01T01:54:49] Estimation window: 2013-03-28 - 2017-03-16, Best order: (3, 0, 3)-(1, 1), AIC: -7.07937982893072, Final model converged
[2024-06-01T01:55:21] Estimation window: 2013-04-01 - 2017-03-17, Best order: (3, 0, 3)-(1, 1), AIC: -7.08166319318613, Final model converged
[2024-06-01T01:55:53] Estimation window: 2013-04-02 - 2017-03-20, Best order: (4, 0, 4)-(1, 1), AIC: -7.1064667599047, Final model FAILED to converge
[2024-06-01T01:56:26] Estimation window: 2013-04-03 - 2017-03-21, Best order: (5, 0, 4)-(1, 1), AIC: -7.08744953478716, Final model converged
[2024-06-01T01:56:59] Estimation window: 2013-04-04 - 2017-03-22, Best order: (4, 0, 4)-(1, 1), AIC: -7.09545991849008, Final model converged
[2024-06-01T01:57:31] Estimation window: 2013-04-05 - 2017-03-23, Best order: (5, 0, 4)-(1, 1), AIC: -7.08233384877354, Final model converged
[2024-06-01T01:58:03] Estimation window: 2013-04-08 - 2017-03-24, Best order: (4, 0, 5)-(1, 1), AIC: -7.08324024490191, Final model converged
[2024-06-01T01:58:38] Estimation window: 2013-04-09 - 2017-03-27, Best order: (5, 0, 5)-(1, 1), AIC: -7.08953520726707, Final model converged
[2024-06-01T01:59:12] Estimation window: 2013-04-10 - 2017-03-28, Best order: (5, 0, 5)-(1, 1), AIC: -7.08094219354514, Final model converged
[2024-06-01T01:59:45] Estimation window: 2013-04-11 - 2017-03-29, Best order: (5, 0, 5)-(1, 1), AIC: -7.09659592797673, Final model converged
[2024-06-01T02:00:18] Estimation window: 2013-04-12 - 2017-03-30, Best order: (5, 0, 3)-(1, 1), AIC: -7.0907743819856, Final model converged
[2024-06-01T02:00:51] Estimation window: 2013-04-15 - 2017-03-31, Best order: (4, 0, 3)-(1, 1), AIC: -7.08729324367583, Final model converged
[2024-06-01T02:01:25] Estimation window: 2013-04-16 - 2017-04-03, Best order: (4, 0, 4)-(1, 1), AIC: -7.12817012727314, Final model FAILED to converge
[2024-06-01T02:01:59] Estimation window: 2013-04-17 - 2017-04-04, Best order: (2, 0, 3)-(1, 1), AIC: -7.08036876417347, Final model converged
[2024-06-01T02:02:32] Estimation window: 2013-04-18 - 2017-04-05, Best order: (3, 0, 3)-(1, 1), AIC: -7.10614977405258, Final model converged
[2024-06-01T02:03:04] Estimation window: 2013-04-19 - 2017-04-06, Best order: (5, 0, 3)-(1, 1), AIC: -7.0767751311445, Final model converged
[2024-06-01T02:03:36] Estimation window: 2013-04-22 - 2017-04-07, Best order: (3, 0, 3)-(1, 1), AIC: -7.10686030260825, Final model converged
[2024-06-01T02:04:09] Estimation window: 2013-04-23 - 2017-04-10, Best order: (5, 0, 5)-(1, 1), AIC: -7.09540105818205, Final model converged
