[2024-06-01T20:43:46] Estimation window: 2002-01-02 - 2007-12-14, Best order: (3, 0, 4)-(1, 1), AIC: -6.65209017692417, Final model converged
[2024-06-01T20:44:26] Estimation window: 2002-01-03 - 2007-12-17, Best order: (4, 0, 4)-(1, 1), AIC: -6.64973446115934, Final model FAILED to converge
[2024-06-01T20:44:53] Estimation window: 2002-01-04 - 2007-12-18, Best order: (1, 0, 1)-(1, 1), AIC: -6.65351635389611, Final model converged
[2024-06-01T20:45:16] Estimation window: 2002-01-07 - 2007-12-19, Best order: (1, 0, 1)-(1, 1), AIC: -6.65339210936163, Final model converged
[2024-06-01T20:45:40] Estimation window: 2002-01-08 - 2007-12-20, Best order: (3, 0, 3)-(1, 1), AIC: -6.6525078667722, Final model converged
[2024-06-01T20:46:04] Estimation window: 2002-01-09 - 2007-12-21, Best order: (5, 0, 5)-(1, 1), AIC: -6.65443165874937, Final model converged
[2024-06-01T20:46:31] Estimation window: 2002-01-10 - 2007-12-24, Best order: (4, 0, 4)-(1, 1), AIC: -6.66606986412831, Final model converged
[2024-06-01T20:47:04] Estimation window: 2002-01-11 - 2007-12-26, Best order: (3, 0, 3)-(1, 1), AIC: -6.64933001910436, Final model converged
[2024-06-01T20:47:29] Estimation window: 2002-01-14 - 2007-12-27, Best order: (5, 0, 5)-(1, 1), AIC: -6.64769287383156, Final model converged
[2024-06-01T20:47:54] Estimation window: 2002-01-15 - 2007-12-28, Best order: (3, 0, 3)-(1, 1), AIC: -6.64871074486339, Final model converged
[2024-06-01T20:48:18] Estimation window: 2002-01-16 - 2007-12-31, Best order: (5, 0, 5)-(1, 1), AIC: -6.64889458523345, Final model converged
[2024-06-01T20:48:50] Estimation window: 2002-01-17 - 2008-01-02, Best order: (1, 0, 1)-(1, 1), AIC: -6.65212605240139, Final model converged
[2024-06-01T20:49:15] Estimation window: 2002-01-18 - 2008-01-03, Best order: (5, 0, 3)-(1, 1), AIC: -6.65021038265641, Final model FAILED to converge
[2024-06-01T20:49:38] Estimation window: 2002-01-22 - 2008-01-04, Best order: (5, 0, 5)-(1, 1), AIC: -6.64854132731736, Final model converged
[2024-06-01T20:50:04] Estimation window: 2002-01-23 - 2008-01-07, Best order: (4, 0, 5)-(1, 1), AIC: -6.64895157958622, Final model converged
[2024-06-01T20:50:27] Estimation window: 2002-01-24 - 2008-01-08, Best order: (1, 0, 1)-(1, 1), AIC: -6.64790400381258, Final model converged
[2024-06-01T20:50:53] Estimation window: 2002-01-25 - 2008-01-09, Best order: (5, 0, 2)-(1, 1), AIC: -6.65483458334138, Final model converged
