[2024-06-02T12:12:27] Estimation window: 2011-10-13 - 2015-10-05, Best order: (3, 0, 3)-(1, 1), AIC: -6.83392724974596, Final model converged
[2024-06-02T12:13:14] Estimation window: 2011-10-14 - 2015-10-06, Best order: (5, 0, 5)-(1, 1), AIC: -6.84036719741359, Final model converged
[2024-06-02T12:13:48] Estimation window: 2011-10-17 - 2015-10-07, Best order: (5, 0, 4)-(1, 1), AIC: -6.82923818092073, Final model converged
[2024-06-02T12:14:20] Estimation window: 2011-10-18 - 2015-10-08, Best order: (4, 0, 5)-(1, 1), AIC: -6.84988258609313, Final model converged
[2024-06-02T12:14:52] Estimation window: 2011-10-19 - 2015-10-09, Best order: (4, 0, 5)-(1, 1), AIC: -6.83562010886267, Final model converged
[2024-06-02T12:15:27] Estimation window: 2011-10-20 - 2015-10-12, Best order: (5, 0, 4)-(1, 1), AIC: -6.84467585214916, Final model FAILED to converge
[2024-06-02T12:16:01] Estimation window: 2011-10-21 - 2015-10-13, Best order: (4, 0, 4)-(1, 1), AIC: -6.83661891341934, Final model FAILED to converge
[2024-06-02T12:16:35] Estimation window: 2011-10-24 - 2015-10-14, Best order: (5, 0, 4)-(1, 1), AIC: -6.84400796724187, Final model converged
[2024-06-02T12:17:08] Estimation window: 2011-10-25 - 2015-10-15, Best order: (3, 0, 5)-(1, 1), AIC: -6.83627072631316, Final model converged
[2024-06-02T12:17:41] Estimation window: 2011-10-26 - 2015-10-16, Best order: (4, 0, 5)-(1, 1), AIC: -6.8347520242919, Final model converged
[2024-06-02T12:18:13] Estimation window: 2011-10-27 - 2015-10-19, Best order: (4, 0, 3)-(1, 1), AIC: -6.84741040821686, Final model converged
[2024-06-02T12:18:44] Estimation window: 2011-10-28 - 2015-10-20, Best order: (4, 0, 3)-(1, 1), AIC: -6.84522365763106, Final model converged
[2024-06-02T12:19:17] Estimation window: 2011-10-31 - 2015-10-21, Best order: (3, 0, 3)-(1, 1), AIC: -6.84622829838877, Final model converged
[2024-06-02T12:19:48] Estimation window: 2011-11-01 - 2015-10-22, Best order: (5, 0, 4)-(1, 1), AIC: -6.85381360572821, Final model FAILED to converge
[2024-06-02T12:20:20] Estimation window: 2011-11-02 - 2015-10-23, Best order: (5, 0, 5)-(1, 1), AIC: -6.85509515282671, Final model converged
[2024-06-02T12:20:52] Estimation window: 2011-11-03 - 2015-10-26, Best order: (1, 0, 1)-(1, 1), AIC: -6.86313808385739, Final model converged
[2024-06-02T12:21:24] Estimation window: 2011-11-04 - 2015-10-27, Best order: (5, 0, 4)-(1, 1), AIC: -6.876748360444, Final model converged
