[2024-06-02T04:38:48] Estimation window: 2006-03-14 - 2010-03-03, Best order: (3, 0, 3)-(1, 1), AIC: -5.99810554559511, Final model converged
[2024-06-02T04:39:08] Estimation window: 2006-03-15 - 2010-03-04, Best order: (3, 0, 3)-(1, 1), AIC: -5.9988053286148, Final model converged
[2024-06-02T04:39:29] Estimation window: 2006-03-16 - 2010-03-05, Best order: (3, 0, 4)-(1, 1), AIC: -5.99547950118566, Final model converged
[2024-06-02T04:39:49] Estimation window: 2006-03-17 - 2010-03-08, Best order: (3, 0, 3)-(1, 1), AIC: -6.0008949927812, Final model converged
[2024-06-02T04:40:10] Estimation window: 2006-03-20 - 2010-03-09, Best order: (4, 0, 5)-(1, 1), AIC: -6.02322609341458, Final model converged
[2024-06-02T04:40:31] Estimation window: 2006-03-21 - 2010-03-10, Best order: (3, 0, 3)-(1, 1), AIC: -5.99634033309079, Final model converged
[2024-06-02T04:40:52] Estimation window: 2006-03-22 - 2010-03-11, Best order: (3, 0, 3)-(1, 1), AIC: -6.00140545458806, Final model converged
[2024-06-02T04:41:13] Estimation window: 2006-03-23 - 2010-03-12, Best order: (5, 0, 4)-(1, 1), AIC: -5.99249898290552, Final model converged
[2024-06-02T04:41:38] Estimation window: 2006-03-24 - 2010-03-15, Best order: (4, 0, 5)-(1, 1), AIC: -5.99433736051519, Final model converged
[2024-06-02T04:41:58] Estimation window: 2006-03-27 - 2010-03-16, Best order: (3, 0, 3)-(1, 1), AIC: -5.99751310408151, Final model converged
[2024-06-02T04:42:20] Estimation window: 2006-03-28 - 2010-03-17, Best order: (3, 0, 3)-(1, 1), AIC: -6.00011933454273, Final model converged
[2024-06-02T04:42:40] Estimation window: 2006-03-29 - 2010-03-18, Best order: (3, 0, 3)-(1, 1), AIC: -5.9976401701146, Final model converged
[2024-06-02T04:43:01] Estimation window: 2006-03-30 - 2010-03-19, Best order: (5, 0, 5)-(1, 1), AIC: -6.0050165728992, Final model converged
[2024-06-02T04:43:57] Estimation window: 2006-03-31 - 2010-03-22, Best order: (5, 0, 5)-(1, 1), AIC: 471.032469941665, Final model FAILED to converge
[2024-06-02T04:44:17] Estimation window: 2006-04-03 - 2010-03-23, Best order: (3, 0, 3)-(1, 1), AIC: -6.00218219360887, Final model converged
[2024-06-02T04:44:39] Estimation window: 2006-04-04 - 2010-03-24, Best order: (4, 0, 5)-(1, 1), AIC: -6.00847690824732, Final model converged
[2024-06-02T04:45:00] Estimation window: 2006-04-05 - 2010-03-25, Best order: (5, 0, 5)-(1, 1), AIC: -6.00149073025576, Final model converged
[2024-06-02T04:45:21] Estimation window: 2006-04-06 - 2010-03-26, Best order: (5, 0, 5)-(1, 1), AIC: -6.01244002342618, Final model converged
[2024-06-02T04:45:42] Estimation window: 2006-04-07 - 2010-03-29, Best order: (3, 0, 3)-(1, 1), AIC: -6.00187672805056, Final model FAILED to converge
[2024-06-02T04:46:02] Estimation window: 2006-04-10 - 2010-03-30, Best order: (3, 0, 3)-(1, 1), AIC: -6.00648500082648, Final model converged
[2024-06-02T04:46:22] Estimation window: 2006-04-11 - 2010-03-31, Best order: (3, 0, 3)-(1, 1), AIC: -6.00488713721883, Final model converged
[2024-06-02T04:46:43] Estimation window: 2006-04-12 - 2010-04-01, Best order: (3, 0, 3)-(1, 1), AIC: -6.00603351363307, Final model converged
[2024-06-02T04:47:08] Estimation window: 2006-04-13 - 2010-04-05, Best order: (5, 0, 5)-(1, 1), AIC: -6.03951665577667, Final model FAILED to converge
[2024-06-02T04:47:29] Estimation window: 2006-04-17 - 2010-04-06, Best order: (5, 0, 3)-(1, 1), AIC: -6.01984197248947, Final model FAILED to converge
[2024-06-02T04:48:03] Estimation window: 2006-04-18 - 2010-04-07, Best order: (5, 0, 5)-(1, 1), AIC: -5.99408944317682, Final model FAILED to converge
[2024-06-02T04:48:25] Estimation window: 2006-04-19 - 2010-04-08, Best order: (3, 0, 3)-(1, 1), AIC: -6.00760705540236, Final model converged
[2024-06-02T04:48:45] Estimation window: 2006-04-20 - 2010-04-09, Best order: (3, 0, 3)-(1, 1), AIC: -6.00826846834615, Final model converged
[2024-06-02T04:49:06] Estimation window: 2006-04-21 - 2010-04-12, Best order: (5, 0, 5)-(1, 1), AIC: -6.00579329998391, Final model converged
[2024-06-02T04:49:27] Estimation window: 2006-04-24 - 2010-04-13, Best order: (3, 0, 3)-(1, 1), AIC: -6.01207920385916, Final model converged
[2024-06-02T04:49:50] Estimation window: 2006-04-25 - 2010-04-14, Best order: (4, 0, 3)-(1, 1), AIC: -6.00586446454051, Final model converged
[2024-06-02T04:50:13] Estimation window: 2006-04-26 - 2010-04-15, Best order: (3, 0, 4)-(1, 1), AIC: -6.00690678134693, Final model converged
[2024-06-02T04:50:33] Estimation window: 2006-04-27 - 2010-04-16, Best order: (3, 0, 3)-(1, 1), AIC: -6.00436574694781, Final model converged
[2024-06-02T04:51:00] Estimation window: 2006-04-28 - 2010-04-19, Best order: (4, 0, 4)-(1, 1), AIC: -6.00490859113687, Final model converged
[2024-06-02T04:51:21] Estimation window: 2006-05-01 - 2010-04-20, Best order: (3, 0, 3)-(1, 1), AIC: -6.00503209185428, Final model converged
[2024-06-02T04:51:42] Estimation window: 2006-05-02 - 2010-04-21, Best order: (3, 0, 3)-(1, 1), AIC: -6.0060102352533, Final model converged
[2024-06-02T04:52:03] Estimation window: 2006-05-03 - 2010-04-22, Best order: (3, 0, 3)-(1, 1), AIC: -6.00784018502057, Final model converged
[2024-06-02T04:52:23] Estimation window: 2006-05-04 - 2010-04-23, Best order: (3, 0, 3)-(1, 1), AIC: -6.0059245525369, Final model converged
[2024-06-02T04:53:11] Estimation window: 2006-05-05 - 2010-04-26, Best order: (4, 0, 4)-(1, 1), AIC: 234.469885881856, Final model FAILED to converge
[2024-06-02T04:53:33] Estimation window: 2006-05-08 - 2010-04-27, Best order: (3, 0, 3)-(1, 1), AIC: -6.0000806589482, Final model converged
[2024-06-02T04:53:54] Estimation window: 2006-05-09 - 2010-04-28, Best order: (3, 0, 3)-(1, 1), AIC: -5.99773427390267, Final model converged
[2024-06-02T04:54:15] Estimation window: 2006-05-10 - 2010-04-29, Best order: (5, 0, 5)-(1, 1), AIC: -5.99314926358954, Final model converged
