[2024-05-31T22:39:07] Estimation window: 2006-03-14 - 2010-03-03, Best order: (5, 0, 2), AIC: -5384.42, Final model converged
[2024-05-31T22:39:23] Estimation window: 2006-03-15 - 2010-03-04, Best order: (5, 0, 2), AIC: -5384.92, Final model converged
[2024-05-31T22:39:42] Estimation window: 2006-03-16 - 2010-03-05, Best order: (5, 0, 2), AIC: -5383.87, Final model converged
[2024-05-31T22:40:02] Estimation window: 2006-03-17 - 2010-03-08, Best order: (5, 0, 2), AIC: -5383.89, Final model converged
[2024-05-31T22:40:21] Estimation window: 2006-03-20 - 2010-03-09, Best order: (5, 0, 2), AIC: -5383.77, Final model converged
[2024-05-31T22:40:41] Estimation window: 2006-03-21 - 2010-03-10, Best order: (5, 0, 2), AIC: -5383.79, Final model converged
[2024-05-31T22:40:59] Estimation window: 2006-03-22 - 2010-03-11, Best order: (5, 0, 2), AIC: -5383.69, Final model converged
[2024-05-31T22:41:18] Estimation window: 2006-03-23 - 2010-03-12, Best order: (5, 0, 2), AIC: -5383.85, Final model converged
[2024-05-31T22:41:40] Estimation window: 2006-03-24 - 2010-03-15, Best order: (5, 0, 2), AIC: -5383.71, Final model converged
[2024-05-31T22:42:01] Estimation window: 2006-03-27 - 2010-03-16, Best order: (5, 0, 2), AIC: -5383.57, Final model converged
[2024-05-31T22:42:22] Estimation window: 2006-03-28 - 2010-03-17, Best order: (5, 0, 2), AIC: -5383.41, Final model converged
[2024-05-31T22:42:42] Estimation window: 2006-03-29 - 2010-03-18, Best order: (5, 0, 2), AIC: -5383.36, Final model converged
[2024-05-31T22:43:04] Estimation window: 2006-03-30 - 2010-03-19, Best order: (5, 0, 2), AIC: -5383.67, Final model converged
[2024-05-31T22:43:30] Estimation window: 2006-03-31 - 2010-03-22, Best order: (5, 0, 2), AIC: -5383.67, Final model converged
[2024-05-31T22:43:57] Estimation window: 2006-04-03 - 2010-03-23, Best order: (5, 0, 2), AIC: -5383.56, Final model converged
[2024-05-31T22:44:22] Estimation window: 2006-04-04 - 2010-03-24, Best order: (5, 0, 2), AIC: -5383.58, Final model converged
[2024-05-31T22:44:47] Estimation window: 2006-04-05 - 2010-03-25, Best order: (5, 0, 2), AIC: -5383.77, Final model converged
[2024-05-31T22:45:14] Estimation window: 2006-04-06 - 2010-03-26, Best order: (5, 0, 2), AIC: -5383.77, Final model converged
[2024-05-31T22:45:38] Estimation window: 2006-04-07 - 2010-03-29, Best order: (5, 0, 2), AIC: -5383.77, Final model converged
[2024-05-31T22:46:04] Estimation window: 2006-04-10 - 2010-03-30, Best order: (5, 0, 2), AIC: -5384.16, Final model converged
[2024-05-31T22:46:28] Estimation window: 2006-04-11 - 2010-03-31, Best order: (5, 0, 2), AIC: -5384.08, Final model converged
[2024-05-31T22:46:50] Estimation window: 2006-04-12 - 2010-04-01, Best order: (5, 0, 2), AIC: -5383.83, Final model converged
[2024-05-31T22:47:14] Estimation window: 2006-04-13 - 2010-04-05, Best order: (5, 0, 2), AIC: -5383.35, Final model converged
